dbn,school_name,latitude,longitude,finalgrades
31R440,New Dorp High School,40.569393,-74.107737,9 to 12
03M402,The Urban Assembly School for Green Careers,40.785803,-73.974614,9 to 12
29Q265,Excelsior Preparatory High School,40.668235,-73.756839,9 to 12
02M288,Food and Finance High School,40.76525,-73.993105,9 to 12
28Q620,Thomas A. Edison Career and Technical Education High School,40.715389,-73.800369,9 to 12
02M533,Union Square Academy for Health Sciences,40.735494,-73.987659,9 to 12
21K559,Life Academy High School for Film and Music,40.594291,-73.98577,9 to 12
09X297,Morris Academy for Collaborative Studies,40.827642,-73.904473,9 to 12
02M507,Urban Assembly Gateway School for Technology,40.76337,-73.9906,9 to 12
24Q455,Newtown High School,40.741122,-73.874721,9 to 12
14K478,"The High School for Enterprise, Business and Technology",40.712184,-73.939722,9 to 12
10X477,Marble Hill High School for International Studies,40.877105,-73.912256,9 to 12
25Q425,John Bowne High School,40.738139,-73.824944,9 to 12
04M610,Young Women's Leadership School (TYWLS),40.792741,-73.947428,6 to 12
09X568,Young Women's Leadership School of the Bronx (TYWLS),40.848547,-73.908416,6 to 12
11X249,Bronx Health Sciences High School,40.874091,-73.833904,9 to 12
30Q555,Newcomers High School,40.751356,-73.937445,9 to 12
10X374,Knowledge and Power Preparatory Academy International High School (KAPPA),40.860043,-73.888267,9 to 12
07X495,University Heights Secondary School,40.81825,-73.91103,9 to 12
13K412,Brooklyn Community Arts & Media High School (BCAM),40.692642,-73.958794,9 to 12
17K745,Brooklyn Institute for Liberal Arts (BILA),40.658893,-73.942458,9 to 12
31R605,Staten Island Technical High School,40.567873,-74.115373,9 to 12
03M860,Frederick Douglass Academy II Secondary School,40.802207,-73.954142,6 to 12
28Q325,Hillside Arts & Letters Academy,40.713218,-73.797237,9 to 12
13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",40.694926,-73.986015,9 to 14
27Q302,"Queens High School for Information, Research, and Technology",40.60201,-73.762795,9 to 12
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,40.773629,-73.985273,9 to 12
02M135,The Urban Assembly School for Emergency Management,40.711442,-74.000851,9 to 12
15K429,Digital Arts and Cinema Technology High School,40.685419,-73.993351,9 to 12
22K405,Midwood High School,40.633237,-73.952929,9 to 12
02M427,Manhattan Academy for Arts & Language,40.746176,-73.981241,9 to 12
06M346,Community Health Academy of the Heights,40.833687,-73.942072,6 to 12
20K490,Fort Hamilton High School,40.627898,-74.039985,9 to 12
17K548,Brooklyn School for Music & Theatre,40.670349,-73.961695,9 to 12
12X271,East Bronx Academy for the Future,40.836356,-73.888361,6 to 12
28Q896,"Young Women's Leadership School, Queens (TYWLS)",40.707527,-73.806412,6 to 12
25Q241,Queens High School for Language Studies,40.765166,-73.82789,9 to 12
27Q324,Rockaway Park High School for Environmental Sustainability,40.586066,-73.822624,9 to 12
06M467,High School for Law and Public Service,40.855855,-73.92712,9 to 12
09X250,Eximius College Preparatory Academy: A College Board School,40.833665,-73.902499,9 to 12
12X521,The Metropolitan Soundview High School,40.831601,-73.878912,9 to 12
05M362,Columbia Secondary School,40.810431,-73.955809,6 to 12
02M630,Art and Design High School,40.75924,-73.967203,9 to 12
14K586,Lyons Community School,40.709941,-73.943641,6 to 12
15K519,Cobble Hill School of American Studies,40.684524,-73.990993,9 to 12
09X517,Frederick Douglass Academy III Secondary School,40.833511,-73.90449,9 to 12
11X509,High School of Language and Innovation,40.859665,-73.861006,9 to 12
07X223,The Laboratory School of Finance and Technology,40.813983,-73.920782,6 to 12
24Q264,Academy of Finance and Enterprise,40.745095,-73.936635,9 to 12
08X405,Herbert H. Lehman High School,40.840702,-73.838545,9 to 12
30Q258,Energy Tech High School,40.757065,-73.932664,9 to 14
18K567,Brooklyn Theatre Arts High School,40.633285,-73.916735,9 to 12
13K483,The Urban Assembly School for Law and Justice,40.694682,-73.988853,9 to 12
29Q313,Benjamin Franklin High School for Finance & Information Technology,40.697819,-73.745728,9 to 12
21K337,International High School at Lafayette,40.594291,-73.98577,9 to 12
08X559,School for Tourism and Hospitality,40.821675,-73.903546,9 to 12
19K683,School for Classics High School,40.670724,-73.874208,9 to 12
13K594,Gotham Professional Arts Academy,40.678488,-73.962105,9 to 12
01M509,Marta Valle High School,40.720581,-73.985645,9 to 12
17K539,High School for Service & Learning at Erasmus,40.649787,-73.95855,9 to 12
14K610,A-TECH High School,40.721981,-73.953281,9 to 12
03M859,Special Music School,40.774351,-73.984753,K to 12
10X284,Bronx School of Law and Finance,40.877105,-73.912256,9 to 12
02M419,Landmark High School,40.742867,-74.002136,9 to 12
32K556,Bushwick Leaders High School for Academic Excellence,40.695056,-73.92814,9 to 12
10X225,Theatre Arts Production Company School,40.854515,-73.896703,6 to 12
28Q167,Metropolitan Expeditionary Learning School,40.711367,-73.856698,6 to 12
15K684,Millennium Brooklyn High School,40.669629,-73.979287,9 to 12
12X388,Pan American International High School at Monroe,40.831601,-73.878912,9 to 12
07X473,Mott Haven Village Preparatory High School,40.81825,-73.91103,9 to 12
24Q600,Queens Technical High School,40.742205,-73.928219,9 to 12
08X293,Renaissance High School for Musical Theater and the Arts,40.840702,-73.838545,9 to 12
26Q415,Benjamin N. Cardozo High School,40.752333,-73.75599,9 to 12
11X299,Astor Collegiate Academy,40.859665,-73.861006,9 to 12
09X324,Bronx Early College Academy for Teaching & Learning,40.828696,-73.917668,6 to 12
02M500,Unity Center for Urban Technologies,40.746176,-73.981241,9 to 12
02M600,The High School of Fashion Industries,40.745156,-73.996074,9 to 12
19K618,Academy of Innovative Technology,40.691146,-73.868328,9 to 12
02M305,The Urban Assembly Academy of Government and Law,40.717349,-73.989596,9 to 12
18K629,Cultural Academy for the Arts and Sciences,40.648657,-73.922171,9 to 12
09X403,Bronx International High School,40.827642,-73.904473,9 to 12
31R445,Port Richmond High School,40.634573,-74.141818,9 to 12
05M692,"High School for Math, Science and Engineering at City College (HSMSE)",40.82074,-73.949097,9 to 12
31R028,The Eagle Academy for Young Men of Staten Island,40.624263,-74.082667,6 to 12
17K524,International High School at Prospect Heights,40.670349,-73.961695,9 to 12
21K468,Kingsborough Early College School,40.594291,-73.98577,6 to 12
02M519,Talent Unlimited High School,40.765359,-73.960059,9 to 12
02M655,Life Sciences Secondary School,40.783625,-73.945637,9 to 12
11X513,New World High School,40.887831,-73.852694,9 to 12
10X439,Bronx High School for Law and Community Service,40.860043,-73.888267,9 to 12
10X524,Crotona International High School,40.855698,-73.882715,9 to 12
24Q267,High School of Applied Communication,40.745095,-73.936635,9 to 12
02M300,The Urban Assembly School of Design and Construction,40.76525,-73.993105,9 to 12
27Q400,August Martin High School,40.675633,-73.783342,9 to 12
08X349,Bronx River High School,40.840702,-73.838545,9 to 12
24Q530,International High School at LaGuardia Community College,40.744412,-73.93364,9 to 12
26Q566,"Queens High School of Teaching, Liberal Arts and the Sciences",40.746088,-73.727535,9 to 12
02M413,School of the Future High School,40.738952,-73.985479,6 to 12
24Q485,Grover Cleveland High School,40.711033,-73.908814,9 to 12
09X505,"Bronx School for Law, Government and Justice",40.827607,-73.918681,6 to 12
02M282,Urban Assembly Maker Academy,40.711442,-74.000851,9 to 12
03M403,The Global Learning Collaborative,40.785803,-73.974614,9 to 12
10X437,Fordham High School for the Arts,40.860043,-73.888267,9 to 12
28Q690,High School for Law Enforcement and Public Safety,40.686208,-73.784144,9 to 12
21K572,Leaders High School,40.594291,-73.98577,9 to 12
09X263,Validus Preparatory Academy,40.839244,-73.901316,9 to 12
02M439,Manhattan Village Academy,40.741497,-73.991512,9 to 12
15K497,The Boerum Hill School for International Studies,40.685419,-73.993351,6 to 12
14K071,Juan Morel Campos Secondary School,40.703624,-73.953146,6 to 12
06M348,Washington Heights Expeditionary Learning School (WHEELS),40.848908,-73.930948,K to 12
27Q308,Robert H. Goddard High School of Communication Arts and Technology,40.67124,-73.845141,9 to 12
04M680,"Heritage School, The",40.791881,-73.946558,9 to 12
11X545,Bronx Aerospace High School,40.875953,-73.86197,9 to 12
13K350,Urban Assembly School for Music and Art,40.697339,-73.985016,9 to 12
06M468,High School for Health Careers and Sciences,40.855855,-73.92712,9 to 12
27Q334,Epic High School - North,40.693006,-73.829407,9 to 12
22K425,James Madison High School,40.609912,-73.948512,9 to 12
02M432,Murray Hill Academy,40.746176,-73.981241,9 to 12
20K505,Franklin Delano Roosevelt High School,40.620446,-73.981795,9 to 12
09X404,School for Excellence,40.827642,-73.904473,9 to 12
02M400,High School for Environmental Studies,40.767791,-73.987531,9 to 12
16K688,The Brooklyn Academy of Global Finance,40.691274,-73.933697,9 to 12
09X564,Claremont International High School,40.840422,-73.91091,9 to 12
25Q460,Flushing High School,40.765166,-73.82789,9 to 12
29Q259,Pathways College Preparatory School: A College Board School,40.70646,-73.753579,6 to 12
10X696,High School of American Studies at Lehman College,40.873938,-73.895382,9 to 12
02M534,Harvest Collegiate High School,40.736518,-73.994858,9 to 12
07X500,Hostos-Lincoln Academy of Science,40.815498,-73.91224,6 to 12
30Q301,Academy for Careers in Television and Film (ACTV),40.742956,-73.959196,9 to 12 - This school is expanding to serve grades 9 to 14 in the 2023-2024 school year.
10X368,In-Tech Academy (M.S. / High School 368),40.879368,-73.909896,6 to 12
09X241,The Urban Assembly School for Applied Math and Science,40.839244,-73.901316,6 to 12
31R600,Ralph R. McKee Career and Technical Education High School,40.642793,-74.07873,9 to 12
02M392,Manhattan Business Academy,40.742867,-74.002136,9 to 12
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,40.76337,-73.9906,9 to 12
03M479,Beacon High School,40.761452,-73.995802,9 to 12
19K504,High School for Civil Rights,40.667456,-73.894747,9 to 12
07X600,Alfred E. Smith Career and Technical Education High School,40.818232,-73.919867,9 to 12
28Q328,High School for Community Leadership,40.713218,-73.797237,9 to 12
14K477,East Williamsburg Scholars Academy,40.712184,-73.939722,9 to 12
15K448,Brooklyn Collaborative Studies,40.68007,-74.001377,6 to 12
12X267,Bronx Latin,40.827743,-73.900105,6 to 12
17K590,Medgar Evers College Preparatory School,40.667195,-73.951167,6 to 12
28Q680,Queens Gateway to Health Sciences Secondary School,40.718831,-73.806499,6 to 12
25Q252,"Queens School of Inquiry, The",40.724458,-73.810216,6 to 12
04M372,Esperanza Preparatory Academy,40.79307,-73.942303,6 to 12
12X550,High School of World Cultures,40.831601,-73.878912,9 to 12
19K409,East New York Family Academy,40.674135,-73.89643,6 to 12
19K764,The Urban Assembly School for Collaborative Healthcare,40.691146,-73.868328,9 to 12
21K620,William E. Grady Career and Technical Education High School,40.582585,-73.963477,9 to 12
31R047,CSI High School for International Studies,40.581315,-74.158589,9 to 12
02M420,High School for Health Professions and Human Services,40.732447,-73.983031,9 to 12
10X342,International School for Liberal Arts,40.870293,-73.898309,6 to 12
17K408,Academy of Hospitality and Tourism,40.649787,-73.95855,9 to 12
09X327,Comprehensive Model School Project M.S. 327,40.842495,-73.916082,6 to 12
02M412,N.Y.C. Lab School for Collaborative Studies,40.742129,-74.002198,9 to 12
02M520,Murry Bergtraum High School for Business Careers,40.711442,-74.000851,9 to 12
30Q502,Information Technology High School,40.748701,-73.94638,9 to 12
11X270,Academy for Scholarship and Entrepreneurship: A College Board School,40.887831,-73.852694,9 to 12
10X546,Bronx Theatre High School,40.877105,-73.912256,9 to 12
02M308,Lower Manhattan Arts Academy,40.717349,-73.989596,9 to 12
32K545,EBC High School for Public Service - Bushwick,40.694507,-73.929107,9 to 12
17K600,Clara Barton High School,40.669567,-73.961962,9 to 12
27Q650,"High School for Construction Trades, Engineering and Architecture",40.689591,-73.840717,9 to 12
20K609,Urban Assembly School for Criminal Justice,40.634875,-73.981528,6 to 12
12X478,The Cinema School,40.831416,-73.877785,9 to 12
23K644,Eagle Academy for Young Men II,40.677805,-73.915843,6 to 12
07X221,South Bronx Preparatory: A College Board School,40.813983,-73.920782,6 to 12
14K561,Williamsburg Preparatory School,40.715073,-73.954754,9 to 12
14K614,Young Women's Leadership School of Brooklyn (TYWLS),40.705204,-73.939407,6 to 12
01M539,"New Explorations into Science, Technology and Math High School (NEST+m)",40.718895,-73.979308,K to 12
19K615,Transit Tech Career and Technical Education High School,40.678276,-73.87596,9 to 12
08X348,Schuylerville Preparatory High School,40.840702,-73.838545,9 to 12
08X561,Bronx Compass High School,40.82229,-73.856167,9 to 12
24Q585,Maspeth High School,40.729939,-73.887482,9 to 12
17K543,"Science, Technology and Research Early College High School at Erasmus (STAR)",40.649787,-73.95855,6 to 12
26Q495,Bayside High School,40.771755,-73.780296,9 to 12
03M541,Manhattan / Hunter Science High School,40.774351,-73.984753,9 to 12
11X418,Bronx High School for the Visual Arts,40.851405,-73.865036,9 to 12
30Q286,"Young Women's Leadership School, Astoria (TYWLS)",40.771215,-73.924591,6 to 12
05M670,Thurgood Marshall Academy for Learning and Social Change,40.815449,-73.944061,6 to 12
18K633,High School for Medical Professions,40.641474,-73.898254,9 to 12
02M489,High School of Economics and Finance,40.709196,-74.012022,9 to 12
31R450,Curtis High School,40.644735,-74.081222,9 to 12
29Q326,Cambria Heights Academy,40.711849,-73.771195,9 to 12
24Q293,Civic Leadership Academy,40.74373,-73.870642,9 to 12
08X432,Bronx Bridges High School,40.82229,-73.856167,9 to 12
02M298,Pace High School,40.716553,-73.993092,9 to 12
10X237,"The Marie Curie School for Medicine, Nursing, and Health Professions",40.875916,-73.90111,9 to 12
11X514,The Bronxwood Preparatory Academy,40.887831,-73.852694,9 to 12
03M291,West End Secondary School,40.772007,-73.987479,6 to 11 - This school is expanding to serve grades 6 to 12.
02M580,Richard R. Green High School of Teaching,40.705024,-74.012977,9 to 12
10X440,DeWitt Clinton High School,40.882178,-73.88691,9 to 12
18K566,Brooklyn Community High School for Excellence and Equity,40.633285,-73.916735,9 to 12
27Q351,Rockaway Collegiate High School,40.586066,-73.822624,9 to 12
05M304,Mott Hall High School,40.817372,-73.947712,9 to 12
07X427,Community School for Social Justice,40.815938,-73.930386,9 to 12
15K667,Sunset Park High School,40.65571,-74.005197,9 to 12
13K595,Bedford Academy High School,40.68538,-73.954302,9 to 12
22K611,Origins High School,40.594124,-73.937696,9 to 12
24Q520,Middle College High School at LaGuardia Community College,40.744412,-73.93364,9 to 12
08X282,Women's Academy of Excellence,40.814833,-73.85658,9 to 12
26Q315,Business Technology Early College High School (BTECH),40.733066,-73.738756,9 to 14
04M435,Manhattan Center for Science and Mathematics,40.793856,-73.934028,9 to 12
21K410,Abraham Lincoln High School,40.581681,-73.967308,9 to 12
12X682,Fannie Lou Hamer Freedom High School,40.83087,-73.88626,9 to 12
13K439,Brooklyn International High School,40.697339,-73.985016,9 to 12
27Q309,Academy of Medical Technology: A College Board School,40.60201,-73.762795,6 to 12
14K449,The Brooklyn Latin School,40.709941,-73.943641,9 to 12
06M423,High School for Excellence and Innovation,40.866053,-73.924835,9 to 12
