latitude,longitude,name
24.7218941,46.7914221,
24.7224116,46.7731502,Indian International School
24.7295377,46.7879813,المدارس السعودية (بنات)
24.7194036,46.6791419,
24.7085124,46.709455,
24.6950302,46.6951003,
24.7017949,46.6912164,
24.658559,46.7429831,Secondary School
24.6586077,46.744013,High School
24.6579447,46.7430045,Elementary School
24.7015062,46.7771667,Girls Secondary School 77
24.7010773,46.7766732,School 281 - Girls
24.7370402,46.7681989,Ibn Hajar Boys School
24.5843405,46.6761515,
24.5847227,46.6764587,
24.5844593,46.6766518,
24.777276,46.7352184,
24.584421,46.771909,
24.751234,46.8138931,international indian school
24.6910832,46.7048289,International Indian Public School (IIPS)
24.5768363,46.6687086,
24.5811008,46.6628423,مدرسة خبيب بن عدي الابتدائية
24.6694971,46.7894413,
24.7607527,46.7573174,
24.7561839,46.7465181,
24.757167,46.7431643,
24.8023742,46.7643883,
24.8046086,46.7565314,
24.801427,46.7578602,
24.7954847,46.7458206,
24.7934282,46.7405321,
24.8084458,46.7546675,
24.8106153,46.759733,
24.8074905,46.7945765,
24.7826774,46.7822762,
24.7875755,46.7736311,
24.7954382,46.7938452,
24.7232498,46.8449339,
24.7233007,46.842272,
24.72157,46.8508742,
24.7218245,46.8530878,
24.7119904,46.8052332,
24.7172134,46.8174171,
24.7109847,46.8151425,
24.7000634,46.8062999,
24.7010082,46.8135671,
24.7026789,46.8163157,
24.7833072,46.7077166,
24.6519141,46.6868333,Pakistan International School 1
24.653752,46.6836932,Pakistan International School 2
24.772258,46.56244,المعهد العلمي في الدرعية
24.5752247,46.7804524,مدرسة سمر بن جندب
24.7931768,46.7951453,ثانوية أضواء الرياض الأهلية
24.7075255,46.8137733,دار القلم
24.6531799,46.7051047,المدرسة الاثيوبية العالمية بالرياض
24.643406,46.657531,al oruba international school
24.8045146,46.7347109,
24.7970498,46.8765797,الابداع
24.6285679,46.6816053,مدرسة المواهب الأهلية للبنين
24.8027813,46.6905821,المدرسة الفرنسية الدولية بالرياض
24.5819112,46.6641676,مدرسة موسى بن نصير الثانوية
24.6602113,46.7196949,
24.6138304,46.6992375,مدرسة ابن الهيثم الابتدائية
24.4984146,46.6327266,مدرسة المتوسطة 156
24.5781504,46.680601,مدارس الرشد ابتدائي بنين
24.5678503,46.702449,ثانوية حي الشفاء
24.7018494,46.7101345,
24.7652924,46.7232957,مدارس الجودة الأهلية
24.7272998,46.8329938,مدرسة عبدالقاهر الجرجاني
24.7738346,46.7551729,مدارس الأمجاد الأهلية والعالمية-القبول والتسجيل
24.7400468,46.7841392,مجمع الشيخ صالح الراجحي (رحمه الله) لتحفيظ القرآن الكريم
24.586704,46.5326346,
24.5790181,46.5514635,
24.6991876,46.7878421,مدرسة بنات
24.6534422,46.7392085,
24.5977025,46.6572445,ابتدائية جعفر بن أبي طالب
24.5953693,46.6755246,
24.5946666,46.6745104,
24.5567243,46.7629075,
24.6733839,46.7927146,متوسطة جعفر بن الزبير
24.7403297,46.7518215,
24.651663,46.5736034,مدرسة يزيد بن نعيم الابتدائية
24.6517735,46.5738789,مدرسة سليم بن عيسى لتحفيظ القرآن الكريم
24.6919615,46.7629725,مدرسة أبي عمرو البصري رحمة الله تعالى
24.6917521,46.7621408,متوسطة مجاهد
24.752905,46.707872,
24.8145,46.8101,
24.8153,46.8132,
24.8145,46.8105,
24.8093902,46.6480053,مدارس النمو
24.8002975,46.644936,مدارس الصحافة
24.7962937,46.637573,مدارس الصحافة
24.7970141,46.6395633,مدارس علوم الرياض الأهلية
24.8256584,46.6483654,مجمع مدارس بنات
24.8025598,46.7296043,مدارس أبناء المجد الأهلية ابتدائي متوسط بنين
24.8026215,46.6717105,مجمع نيار التعليمي
24.6720214,46.7954808,
24.6075758,46.6780781,
24.6817297,46.6927243,مدارس منار الشمس العالمية
24.898816,46.6337827,ابتدائية شيخة بنت عبدالعزيز
24.6984742,46.5874971,Misk Schools
24.6822145,46.6992629,
24.5763266,46.5537371,متوسطة أوس بن ثابت
24.7253773,46.6673482,مدارس نجد الأهلية
24.7296489,46.7650768,Ibn Al Jawzi Boys School
24.7000723,46.6943208,
24.7285827,46.789433,المدارس السعودية (بنين)
24.7132442,46.6278178,Koranic School for Girls
24.7159992,46.6273478,الابتدائية ٧١ للبنات
24.7925864,46.6589919,Kingdom School
24.7509028,46.8140135,
24.5910356,46.6946021,المدرسة الثانوية 154 (بنات)
24.5911723,46.6953453,لمدرسة الإبتدائية 254 (بنات)
24.5914644,46.6949732,المدرسة المتوسطة 169 (بنات)
24.5930981,46.6902837,مدرسة شبرا الإبتدائية (بنين)
24.5882,46.6839904,المتوسطة 110 بنات
24.5882668,46.7799289,
24.5892935,46.7821589,
24.5808837,46.5844747,مدارس العبير الأهلية
24.5835931,46.5936741,ابتدائية حماد بن سلمة
24.5885836,46.6018608,
24.6145157,46.6426534,مدرسة الليث بن سعد الابتدائية بنين
24.6150979,46.6390672,ثانوية الجويني بنين
24.6117048,46.6385996,مدرسة رقم 116 الابتدائية بنات
24.6091907,46.6343964,مدرسة عبدالله الجار الله الابتدائية بنين
24.6116619,46.6415942,معهد التربية الفكرية بنات
24.611178,46.6419801,مدرسة رقم 157 المتوسطة بنات
24.6094842,46.6309742,مدرسة عمير بن سعد الابتدائية بنين
24.5927826,46.6905335,مدرسة سفيان بن عيينة المتوسطة (بنين)
24.5872426,46.6892764,مدرسة عتبة بن غزوان الإبتدائية (بنين)
24.6584302,46.6924623,Riyadh Schools
24.7035167,46.7830175,
24.7195993,46.6424543,KACST's Boys School
24.7221518,46.6443157,KACSR's Girls School
24.8127328,46.7522206,
24.7777772,46.7271849,
24.7342477,46.7062541,Prince Sultan Educational Complex
24.7954336,46.619933,
24.7950532,46.6265724,
24.7870392,46.6305462,Al Najashi Secondary School
24.7902079,46.6291524,
24.6790677,46.6156986,Elementary School
24.6822694,46.6169441,Primary School for Girls
24.6838751,46.6189943,King Faisal School
24.6812271,46.6284705,Diplomatic School
24.6825896,46.6283063,Al Safarat Secondary School
24.6787834,46.6294858,Tuwaiq Secondary School for Girls
24.8022815,46.8967375,
24.816088,46.8909879,
24.806822,46.8854718,
24.8087803,46.8823237,
24.8119034,46.8785771,
24.8084942,46.8887673,
24.8113714,46.8985998,
24.8015206,46.8086216,
24.7432089,46.8347425,
24.7420601,46.8325397,
24.7405318,46.8367317,
24.7368982,46.8363497,
24.7469542,46.8274723,
24.7438893,46.8287859,
24.7344774,46.835327,
24.73081,46.8394005,
24.7283548,46.8383985,
24.6609639,46.8286759,
24.6978362,46.8594998,
24.7545178,46.8832681,
24.7558701,46.8861287,
25.165082,46.3251239,
24.6028884,46.7764906,
24.5887563,46.7890607,
24.5803003,46.8349268,
24.5770332,46.840904,
24.577804,46.845872,
24.5733628,46.8454639,
24.5699582,46.8407592,
24.5668983,46.8454516,
24.5683582,46.8455286,
24.5748058,46.8485542,
24.5867638,46.8478862,
24.5848049,46.8466426,
24.5888991,46.8483059,
24.5731421,46.8518206,
24.576128,46.8544149,
24.5857246,46.8479862,
24.4903562,46.6166896,
24.5001054,46.6232474,
24.4980132,46.6277298,
24.5031076,46.6293383,
24.5492535,46.6529038,
24.5455673,46.6550507,
24.5517078,46.6606437,
24.5484279,46.6578336,
24.540835,46.6882951,
24.5507237,46.6744981,
24.4991839,46.6404152,
24.534202,46.7004335,
24.5424419,46.7128115,
24.5379958,46.7073709,
24.5408895,46.730178,
24.5622549,46.7160883,
24.6147862,46.7540823,
24.584272,46.6976466,الابتدائية التاسعة
24.7520788,46.5655157,
24.7568879,46.547218,
24.6918414,46.5964556,Ibn Khaldoun School
24.6888374,46.5845953,Ibn Khadoul School
24.4062529,46.8416114,
24.3944369,46.8376979,
24.4419779,46.9762384,
24.4808091,46.2941834,
24.4738848,46.2470503,
24.4629568,46.2725523,
24.465841,46.2762391,
24.464348,46.282047,
24.4684241,46.2787675,
24.4676691,46.2842113,
24.4714107,46.2810333,
24.5020607,46.3641085,
24.4687452,46.2700533,
24.4800566,46.2936006,
24.4789069,46.2965982,
24.7620108,46.7774481,
24.7669949,46.775452,
24.7652373,46.7714395,
24.7597348,46.79737,
24.7400214,46.8456958,
24.7282457,46.8566314,
24.683789,46.8268218,
24.6767829,46.8203208,
24.6753366,46.8150024,
24.6737841,46.7926773,
24.6737774,46.7895226,
24.6788944,46.7939191,
24.6773309,46.7984333,
24.6682714,46.798762,
24.6791505,46.8111725,
24.662665,46.7997259,
24.6594661,46.8006886,
24.6577199,46.7982489,
24.656358,46.7958991,
24.6624033,46.8052274,
24.7933536,46.7329203,
24.7901227,46.7326412,
24.7913719,46.729878,British International School
24.7834515,46.6864861,
24.6392953,46.7145566,
24.7830947,46.7234943,مدارس الرواد الأهلية
24.8068474,46.7616429,عمر بن دينار
24.7984857,46.7780757,مجمع اليرموك التعليمي
24.8074608,46.7888282,
24.8055854,46.7915461,
24.7707407,46.7517852,مدارس الارقم الاهلية
24.6202391,46.7235174,
24.7712197,46.750829,
24.7719004,46.7506479,
24.7729306,46.7494101,
24.7780411,46.747739,
24.7789933,46.7489005,
24.7796653,46.7547986,
24.7771903,46.7352481,
24.7831487,46.7379411,
24.7845514,46.7447485,
24.7934439,46.7402608,المدرسة الإبتدائية 440 بنات
24.7930621,46.7404731,المدرسة المتوسطة ٢٣٩
24.7963295,46.7673733,شروق المعرفة النموذجية
24.5294455,46.6370576,
24.5043284,46.505453,
24.5806566,46.5217106,
24.5808578,46.5278912,
24.5837929,46.57168,
24.5901033,46.5722869,
24.5877873,46.5382401,
24.5518128,46.7132474,
24.5497824,46.7030183,
24.5614398,46.6959507,
24.5711085,46.7171562,
24.7954323,46.7939595,
24.8096892,46.860197,
24.8002865,46.8629306,
24.7793985,46.8157582,
24.6917563,46.6418357,
24.6910602,46.6453785,
24.6024696,46.7231446,
24.6025183,46.725167,
24.651637,46.6967636,
24.6517698,46.6980097,
24.653578,46.6971865,
24.6537685,46.6838083,
24.6617259,46.6878841,
24.6608203,46.6922323,
24.6612394,46.6910533,
24.659959,46.6911027,
24.6644483,46.6981818,
24.5969926,46.626932,ابتدائية عبد الرحمن بن سعدى
24.5976071,46.6236076,متوسطة ابن الجزري لتحفيظ القرآن الكريم
24.593643,46.6641272,
24.5904646,46.6687686,مدرسة متوسطة عبد الله بن حبيب لتحفيظ القرآن الكريم
24.5825355,46.6811222,إبتدائية إبن خزيمة
24.5820996,46.6804175,متوسطة الملك سعود
24.6022147,46.6230989,ابتدائية ابن الجزري لتحفيظ القرآن الكريم
24.60311,46.6196894,ابتدائية إمام الدعوة محمد بن عبد الوهاب
24.5880692,46.6135881,
24.5942072,46.6143528,ابتدائية إياس بن معاوية
24.599035,46.6106806,ثانوية الأمير سعد بن عبدالعزيز
24.5810236,46.6266907,
24.5951175,46.6446607,أبتدائية الخوارزمي
24.6746695,46.8807657,
24.6731564,46.8794388,
24.6644612,46.8731671,
24.8225046,46.541936,
24.8214336,46.5419145,
24.6675872,46.7092073,
24.6131969,46.7573395,
24.5881848,46.7734386,
24.5819416,46.7793756,
24.7218897,46.7915092,
24.7112819,46.8149429,
24.7157446,46.8136838,
24.711765,46.7808656,
24.704658,46.7896183,
24.7093081,46.7957606,
24.7000355,46.8063291,
24.5972302,46.6148704,الإبتدائية 135بنات
24.5949801,46.6108273,ابتدائية ابي بكر بن عياش لتحفيظ القران الكريم
24.5981038,46.611351,
24.59249,46.6071069,الإبتدائية 55 بنات
24.5893221,46.6053499,مدارس علوم التربية الأهلية
24.5923416,46.5994569,الابتدائية 214 بنات
24.5917484,46.6023766,مدرسة صلاح الدين الايوبي الابتدائية
24.7195864,46.6295445,مجمع الملك سعود التعليمي - القسم الثانوي
24.5853959,46.6093569,ثانوية٦١
24.5895851,46.7819996,متوسطة الامام النسائي
24.5890394,46.7823087,ثانوية العز بن عبدالسلام
24.6283705,46.7330951,مدرسة عبدالحميد الكاتب الابتدائية
24.5692813,46.6400903,مدارس الجيل الأهلية للبنين
24.6024942,46.5947534,الابتدائية 208 بنات
24.5994003,46.5955108,متوسطة الامام البيضاوي
24.5997824,46.5991865,ابتدائية ابي عمرو الداني
24.5955571,46.5903843,الثانوية الثالثة والخمسون
24.5930921,46.5850619,متوسطة سعيد بن المسيب
24.5924768,46.5882807,ابتدائية زيد بن الخطاب
24.5844835,46.5901795,ابتدائية 246 للبنات
24.6029016,46.5983657,المتوسط 73 بنات
24.6069034,46.6009917,ابتدائية الامام البخاري
24.5857693,46.6293573,المتوسطة السابعة والسبعون
24.5859876,46.6297177,الابتدائية 165 بنات
24.5917917,46.6391964,الثانوية الخمسون
24.5784991,46.6535072,متوسطة الخليج
24.5743397,46.6804882,ثانوية تميم بن أوس بنين
24.5885399,46.6845586,الثانوية 24 بنات
24.5844836,46.6982294,المتوسطة الستة والستون
24.5756265,46.6523779,المتوسطة ٥١ بنات
24.5759307,46.6521531,الابتدائية 134 بنات
24.5792124,46.5712625,الثانوية ٤٧ للبنات
24.5786554,46.5714546,المتوسطة 67 للبنات
24.5786978,46.5709181,الروضة السادسة عشر
24.4890389,46.59742,ابتدائية همام بن الحارث
24.54702,46.6711369,مدرسة ابو بكر العربي
24.5749369,46.5411359,ابتدائية الطفيل بن الحارث
24.5853263,46.5520116,ثانوية نجد
24.5818028,46.5639913,ثانوية مالك بن دينار
24.5772549,46.5649079,الإبتدائية (٢٢٨) بنات
24.5767638,46.5717985,إبتدائية الحسين بن علي
24.5746698,46.5900111,ابتدائية عبدالله بن مسعود
24.5814698,46.5980594,
24.6983358,46.8199629,
24.5988738,46.6226602,المتوسطة التاسعة والسبعون للبنات
24.599325,46.622343,الابتدائية 188 بنات
24.6069594,46.6303121,
24.6066969,46.6329726,وحدة تدريب البديعه
24.6069574,46.6334226,متوسطة تحفيظ القرآن الكريم الرابعة
24.6063178,46.633237,ثانوية المائة واثنى عشر للبنات
24.5776498,46.6212448,
24.5750426,46.6169367,ثانوية القاسم بن سلام
24.5709673,46.6363675,ثانوية الإمام عبد الله بن سعود
24.5705364,46.6366808,متوسط ابن رجب الحنبلي
24.5723766,46.6347329,مدارس التوحيد الأهلية جميع المراحل
24.5820594,46.6039046,ابتدائية أويس القرني بنين
24.58674,46.5942165,متوسطة ابن بشر
24.5973352,46.6982286,الإبتدائية 154
24.5969115,46.6984841,معهد التربية الفكرية - غرب - بنات
24.5952733,46.6993262,إبتدائية الوليد بن عبدالملك
24.5940778,46.6261952,الثانوية الاربعون
24.5937629,46.6267403,الأبتدائية ٢٣ لتحفيظ القرآن الكريم
24.5935032,46.6262977,الروضة السادسة والأربعون
24.5948526,46.6236749,الابتدائية 350
24.5945814,46.6232387,المتوسطة ١٤٧
24.6517571,46.5738714,ابتدائية يزيد بن نعيم
24.7891659,46.7198458,مدارس منارات الرياض العالمية
24.7622992,46.6696364,ابتدائية ابن البيطار
24.766395,46.6671166,الثانوية 117 ( بنات)
24.7667659,46.6669187,الروضة ٢٩
24.7671371,46.6673018,المدرسة المتوسطة 140 ( بنات)
24.767117,46.6667346,الابتدائية ٢٦٦ ( بنات)
24.7727862,46.6703715,مدارس ابن خلدون الأهلية
24.6302297,46.7020058,الأبتدائية الخامسة
24.7089861,46.6228212,
24.7180288,46.629483,
24.7174047,46.6311395,
24.5907332,46.657839,الثانوية 28 للبنات
24.5903455,46.6572269,المتوسطة 40 بنات
24.5899186,46.656472,الابتدائية 155 بنات
24.5862881,46.6607681,ابتدائية سيف الدولة الحمداني
24.5856722,46.6597596,متوسطة حي السويدي
24.6006457,46.6411465,ثانوية الجوهري
24.5914879,46.6192987,
24.5914521,46.6188195,مكتب توجيه غرب الرياض للبنات
24.5910934,46.6190813,الابتدائية 167
24.5875525,46.59116,الابتدائية 12 لتحفيظ القران
24.5872811,46.5907002,الثانوية 130 بنات
24.5760847,46.586882,المتوسطة 81 بنات
24.5761227,46.5863168,الثانوية 92 بنات
24.5751995,46.5797296,الإبتدائية 190 بنات
24.5996206,46.6106227,إبتدائية مالك بن الحويرث
24.5993193,46.6101421,متوسطة البزار
24.5780863,46.6660979,ثانوية الأمير بندر بن عبدالعزيز (بنين)
24.6555422,46.5739403,ثانوية البندري بنت عبدالعزيز للبنات
24.8130152,46.6966129,
24.8118064,46.6984523,
24.8114142,46.6974805,
24.7477575,46.5797073,
24.5676271,46.6431922,ابتدائية ثابت بن الصامت
24.5656638,46.6350168,ثانوية الثغر النموذجية الأهلية
24.6839017,46.6985269,ابتدائية ابن الأرقم
24.5890866,46.6350319,ابتدائية أبي الطيب المتنبي
24.5894194,46.6347996,متوسطة البراء بن عازب
24.7501629,46.6501632,ثانوية الأمير عبدالمجيد بن عبدالعزيز
24.676577,46.6984272,الثانوية 57 بنات
24.6775446,46.6979602,ابتدائية ٢٥٠ بنات
24.6724661,46.7021018,ثانوية اليمامة
24.8970101,46.439836,
24.5895051,46.5983812,الثانوية 38 للبنات
24.5921242,46.5990232,المتوسطة 120 بنات
24.5926446,46.5988462,الروضة 74
24.7772591,46.7430361,
24.7770551,46.7442004,
24.8265983,46.7860879,Talha bin Bara Elementary School
24.8182312,46.7717675,ثانوية ابن النفيس
24.7646995,46.6634454,
24.6551782,46.6277706,مدارس أجيال الثقافة الأهلية للبنات
24.7680713,46.7039588,Al Faris International School
24.8347426,46.6758504,مدرسة ابتدائية النرجس الأولى للبنات
24.7724616,46.6172738,الإبتدائية 391 - بنات
24.7719983,46.6167675,ثانوية زينب الدمشقية
24.7720461,46.6174767,متوسطة 189 بنات
24.7019615,46.6850867,المدرسة 174 الابتدائية بنات
24.6770996,46.6981324,
24.8087867,46.6613775,متوسطة عماره بنت حمزة
24.8092982,46.6611137,ابتدائية سكينة بنت ابي وقاص
24.8292167,46.6542608,مدرسة مجاهد بن جبر الابتدائية
24.8256016,46.6239731,ابتدائية عذبة الخزرجية
24.8233638,46.6263385,مدرسة فلوة بنت عبدالعزيز-بنات
24.8269078,46.6249189,مدرسة الحارث بن عمير (الابتدائية)-بنين
24.6751334,46.7549396,متوسطة ابن قدامة
24.6755301,46.7561449,مدرسة العلاء بن حضرمي
24.7783093,46.7046073,"مجمع مدارس بنات حي التعاون ( ثانوي,متوسط,ابتدائي,تمهيدي )"
24.7808,46.6173646,مدارس دار الصفوة الأهلية
24.7826263,46.6229636,الروضة
24.7830113,46.622774,المدرسة المتوسطة ٢١٢
24.7834417,46.6225675,المدرسة الإبتدائية ٣٤٤ للبنات
24.7836639,46.6230925,المدرسة الإبتدائية لتحفيظ القرآن
24.9117221,46.6214329,متوسطة النرجس الثانية
24.9112058,46.6216816,ثانوية النرجس الثانية
24.8357845,46.7503589,مدارس إتقان التربية
24.7561956,46.5652129,ابتدائية الإمام تركي بن عبد الله للبنين
24.8476312,46.6342808,American International School Riyadh
24.5996394,46.6486241,مدارس رواد الإبداع الأهلية
24.5969667,46.6550229,مدرسة متوسطة ابي حنيفة
