dbn,school_name,latitude,longitude,attendance_rate_hs,attendance_rate_k8,graduation_rate
11X253,Bronx High School for Writing and Communication Arts,40.875953,-73.86197,0.876,,0.73
03M299,The Maxine Greene High School for Imaginative Inquiry,40.774351,-73.984753,0.779,,0.772
27Q314,Epic High School - South,40.675771,-73.816938,,,
09X231,Eagle Academy for Young Men,40.844958,-73.89705,0.814,0.877,0.831
06M462,The College Academy,40.855855,-73.92712,0.811,,0.92
25Q263,Flushing International High School,40.759844,-73.820548,,,
24Q296,Pan American International High School,40.74373,-73.870642,,,
15K464,Park Slope Collegiate,40.669629,-73.979287,0.694,0.907,0.802
14K474,PROGRESS High School for Professional Careers,40.712184,-73.939722,0.779,,0.717
01M292,Orchard Collegiate Academy,40.713684,-73.986336,0.807,,0.938
05M148,Eagle Academy for Young Men of Harlem,40.817372,-73.947712,0.704,0.648,0.723
25Q525,Townsend Harris High School,40.73439,-73.821392,,,
30Q580,Baccalaureate School for Global Education,40.755366,-73.927169,,,
10X353,World View High School,40.882178,-73.88691,0.934,,1.0
07X522,Bronx Design and Construction Academy,40.818232,-73.919867,0.861,,0.709
13K265,Dr. Susan S. McKinney Secondary School of the Arts,40.696324,-73.97578,0.888,0.918,0.87
18K563,It Takes a Village Academy,40.648657,-73.922171,,,
21K348,High School of Sports Management,40.594291,-73.98577,,,
01M696,Bard High School Early College,40.719029,-73.975891,0.942,,0.95
07X670,Health Opportunities High School,40.815938,-73.930386,0.84,,0.741
15K462,John Jay School for Law,40.669629,-73.979287,0.854,,0.855
28Q350,Jamaica Gateway to the Sciences,40.713218,-73.797237,,,
17K546,High School for Public Service: Heroes of Tomorrow,40.658893,-73.942458,0.828,,0.917
11X544,High School for Contemporary Arts,40.875953,-73.86197,0.839,,0.782
02M280,Manhattan Early College School for Advertising,40.711442,-74.000851,0.812,,0.921
28Q687,Queens High School for the Sciences at York College,40.701049,-73.798151,,,
28Q686,Queens Metropolitan High School,40.711367,-73.856698,,,
02M542,Manhattan Bridges High School,40.76525,-73.993105,0.774,,0.951
09X260,Bronx Center for Science and Mathematics,40.833665,-73.902499,0.798,,0.945
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",40.742839,-73.936782,,,
09X413,Bronx High School for Medical Science,40.840422,-73.91091,0.918,0.92,0.814
10X434,Belmont Preparatory High School,40.860043,-73.888267,0.822,,0.758
30Q501,Frank Sinatra School of the Arts High School,40.756534,-73.925121,,,
10X565,High School for Energy and Technology,40.855698,-73.882715,0.941,,0.938
02M438,International High School at Union Square,40.735494,-73.987659,0.786,,0.862
31R460,Susan E. Wagner High School,40.596803,-74.124227,,,
02M393,Business of Sports School,40.76337,-73.9906,0.79,,0.867
09X252,Mott Hall Bronx High School,40.839244,-73.901316,0.83,,0.849
19K422,Spring Creek Community School,40.657434,-73.874734,,,
20K445,New Utrecht High School,40.613262,-74.003404,,,
22K535,Leon M. Goldstein High School for the Sciences,40.580894,-73.935952,,,
02M422,Quest to Learn,40.742867,-74.002136,0.861,0.928,0.831
02M399,The High School for Language and Diplomacy,40.735494,-73.987659,0.732,,0.8
16K498,Brooklyn High School for Law and Technology,40.688831,-73.920906,0.763,,0.826
29Q248,Queens Preparatory Academy,40.668235,-73.756839,,,
02M529,Jacqueline Kennedy Onassis High School,40.757729,-73.983078,0.769,,0.831
02M296,High School of Hospitality Management,40.76525,-73.993105,0.702,,0.805
10X549,Discovery High School,40.870293,-73.898309,0.909,,0.908
27Q480,John Adams High School,40.679639,-73.837298,,,
07X334,International Community High School,40.81004,-73.917792,0.708,,0.74
08X320,Pelham Lab High School,40.840702,-73.838545,0.886,,0.756
25Q240,Veritas Academy,40.765166,-73.82789,,,
26Q435,Martin Van Buren High School,40.733066,-73.738756,,,
02M316,The Urban Assembly School of Business for Young Women,40.70568,-74.013302,0.697,,0.743
11X455,Harry S Truman High School,40.874091,-73.833904,0.801,,0.798
09X543,High School for Violin and Dance,40.827642,-73.904473,0.859,,0.769
11X265,Bronx Lab School,40.875953,-73.86197,0.584,,0.795
32K403,Academy for Excellence in Leadership,40.697185,-73.91117,,,
02M475,Stuyvesant High School,40.7177,-74.01399,0.973,,0.993
05M499,Frederick Douglass Academy,40.824319,-73.93712,0.802,0.806,0.83
18K637,Academy for Conservation and the Environment,40.633285,-73.916735,,,
13K605,George Westinghouse Career and Technical Education High School,40.694926,-73.986015,0.844,,0.906
31R455,Tottenville High School,40.528092,-74.192032,,,
23K514,Frederick Douglass Academy VII High School,40.665878,-73.911705,,,
09X412,Bronx High School of Business,40.840422,-73.91091,0.844,,0.81
07X548,Careers in Sports High School,40.82231,-73.923829,0.813,,0.772
19K502,FDNY - Captain Vernon A. Richard High School for Fire and Life Safety,40.667456,-73.894747,,,
02M543,New Design High School,40.717349,-73.989596,0.83,,0.87
21K690,Brooklyn Studio Secondary School,40.604879,-73.994404,,,
03M494,High School of Arts and Technology,40.774351,-73.984753,0.842,,0.828
17K382,Academy for College Preparation and Career Exploration: A College Board School,40.649787,-73.95855,0.89,0.944,0.8
02M411,Baruch College Campus High School,40.74193,-73.986521,0.961,,0.992
12X684,Wings Academy,40.841794,-73.875366,0.827,,0.713
10X243,West Bronx Academy for the Future,40.860043,-73.888267,0.898,0.907,1.0
10X442,"Celia Cruz Bronx High School of Music, The",40.870293,-73.898309,0.946,,0.989
22K555,Brooklyn College Academy,40.649404,-73.971736,,,1.0
28Q310,Queens Collegiate: A College Board School,40.713218,-73.797237,,,
12X479,Bronx Career and College Preparatory High School,40.827743,-73.900105,0.808,,0.8
15K656,Brooklyn High School of the Arts,40.683559,-73.98027,0.879,,0.935
06M552,Gregorio Luperon High School for Science and Mathematics,40.838167,-73.938642,0.899,,0.974
14K558,Williamsburg High School for Architecture and Design,40.715073,-73.954754,0.932,,0.98
08X269,Bronx Studio School for Writers and Artists,40.820579,-73.893128,0.881,0.898,0.793
25Q281,East-West School of International Studies,40.749545,-73.822073,,,
04M495,Park East High School,40.790543,-73.944356,0.893,,1.0
25Q670,Robert F. Kennedy Community High School,40.725603,-73.810697,,,
09X329,Dreamyard Preparatory School,40.840422,-73.91091,0.85,,0.86
29Q492,"Mathematics, Science Research and Technology Magnet High School",40.697819,-73.745728,,,
18K576,Victory Collegiate High School,40.633285,-73.916735,,,0.855
02M551,Urban Assembly New York Harbor School,40.701695,-74.011631,0.793,,0.897
13K430,Brooklyn Technical High School,40.688834,-73.976905,0.951,,0.961
19K583,Multicultural High School,40.691146,-73.868328,,,
08X452,Gotham Collaborative High School,40.82229,-73.856167,0.857,,0.674
29Q327,Eagle Academy for Young Men III,40.691712,-73.778923,,,
05M157,The Urban Assembly School for Global Commerce,40.807383,-73.939433,0.883,,0.78
08X530,Longwood Preparatory Academy,40.817512,-73.898212,0.896,,0.824
31R064,Gaynor McCown Expeditionary Learning School,40.581315,-74.158589,,,
07X527,Bronx Leadership Academy II High School,40.82231,-73.923829,0.765,,0.81
14K685,El Puente Academy for Peace and Justice,40.705898,-73.955611,0.867,,0.766
01M448,University Neighborhood High School,40.712399,-73.984497,0.86,,0.985
17K531,The School for Human Rights,40.658893,-73.942458,0.785,,0.885
21K540,John Dewey High School,40.589268,-73.981738,0.893,,
03M417,Frank McCourt High School,40.785803,-73.974614,0.913,,0.971
12X251,Explorations Academy H.S.,40.8359,-73.890458,0.866,,0.789
21K344,Rachel Carson High School for Coastal Studies,40.582533,-73.973132,,,
19K510,World Academy for Total Community Health High School (WATCH),40.667456,-73.894747,,,
14K454,The Williamsburg High School of Art and Technology,40.709941,-73.943641,0.91,,0.947
02M047,47 The American Sign Language and English Secondary School,40.738548,-73.982455,0.812,,0.935
15K463,Cyberarts Studio Academy,40.669629,-73.979287,0.834,,0.68
02M546,Academy for Software Engineering (AFSE),40.735494,-73.987659,0.819,,0.927
28Q440,Forest Hills High School,40.729402,-73.845637,,,
17K547,Brooklyn Academy of Science and the Environment (BASE),40.670349,-73.961695,0.863,,0.826
04M555,Central Park East High School,40.793763,-73.949381,0.953,,0.992
11X542,Pelham Preparatory Academy,40.859665,-73.861006,0.887,,0.919
28Q505,Hillcrest High School,40.709446,-73.80166,,,
13K419,"Science Skills Center High School for Science, Technology and the Creative Arts",40.697339,-73.985016,0.962,,0.994
27Q323,Scholars' Academy,40.584109,-73.825711,,,
06M463,High School for Media and Communications,40.855855,-73.92712,0.916,,0.865
24Q299,Bard High School Early College Queens,40.745095,-73.936635,,,
20K485,High School of Telecommunication Arts and Technology,40.637282,-74.023849,,,
17K122,Pathways in Technology Early College High School (P-TECH),40.675612,-73.938843,0.795,,0.783
25Q285,World Journalism Preparatory: A College Board School,40.765133,-73.790083,,,
02M408,Professional Performing Arts High School (PPAS),40.761448,-73.988019,0.961,0.989,0.99
02M425,Leadership and Public Service High School,40.70873,-74.012332,0.906,,0.88
10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141) (RKA),40.888338,-73.913486,0.89,0.922,0.915
29Q272,George Washington Carver High School for the Sciences,40.668235,-73.756839,,,
19K659,Cypress Hills Collegiate Preparatory School,40.691146,-73.868328,,,
03M307,The Urban Assembly School for Media Studies,40.774351,-73.984753,0.808,,0.888
32K552,The Academy of Urban Planning and Engineering,40.697185,-73.91117,,,
11X288,Collegiate Institute for Math and Science (CIMS),40.859665,-73.861006,0.842,,0.875
30Q575,Academy of American Studies,40.751331,-73.937434,,,
17K751,Academy for Health Careers,40.675612,-73.938843,0.8,,
02M374,Gramercy Arts High School,40.735494,-73.987659,0.923,,0.953
09X227,Bronx Collegiate Academy,40.840422,-73.91091,0.887,,0.942
10X264,Bronx Academy for Software Engineering (BASE),40.855698,-73.882715,0.816,,0.815
02M416,Eleanor Roosevelt High School,40.770187,-73.953608,0.957,,1.0
05M369,Urban Assembly School for the Performing Arts,40.815256,-73.955325,0.819,,0.814
13K670,Benjamin Banneker Academy,40.695332,-73.969243,0.901,,0.958
15K592,Khalil Gibran International Academy,40.686499,-73.979649,0.857,,0.811
11X508,Bronxdale High School,40.859665,-73.861006,0.816,,0.815
27Q262,Channel View School for Research,40.586066,-73.822624,,,
02M615,Chelsea Career and Technical Education High School,40.7244,-74.004625,0.741,,0.889
06M293,City College Academy of the Arts,40.86079,-73.930672,0.902,0.898,1.0
24Q236,International High School for Health Sciences,40.741122,-73.874721,,,
23K493,Brooklyn Collegiate: A College Board School,40.674103,-73.913273,,,
18K642,Urban Action Academy,40.641474,-73.898254,,,
13K499,ACORN Community High School,40.678488,-73.962105,,,
21K728,Liberation Diploma Plus,40.577208,-73.985953,,,
09X525,Bronx Leadership Academy High School,40.843588,-73.903236,0.902,,0.798
30Q450,Long Island City High School,40.765826,-73.9328,,,
02M260,The Clinton School,40.736518,-73.992725,0.93,0.976,0.976
29Q243,Institute for Health Professions at Cambria Heights,40.697819,-73.745728,,,
02M531,Repertory Company High School for Theatre Arts,40.755843,-73.984382,0.91,,0.965
26Q430,Francis Lewis High School,40.740724,-73.79283,,,
10X351,Bronx Collaborative High School,40.882178,-73.88691,0.561,,0.882
32K168,The Brooklyn School for Math and Research,40.697185,-73.91117,,,
07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",40.810803,-73.907015,0.825,,0.923
23K697,Teachers Preparatory High School,40.665878,-73.911705,,,
16K455,Boys and Girls High School,40.67944,-73.932407,0.755,,0.805
08X312,Millennium Art Academy,40.82229,-73.856167,0.867,,0.79
13K527,Urban Assembly Institute of Math and Science for Young Women,40.694682,-73.988853,0.858,0.89,0.967
24Q550,High School for Arts and Business,40.737427,-73.853178,,,
03M492,"High School for Law, Advocacy and Community Justice",40.774351,-73.984753,0.82,,0.735
11X290,Bronx Academy of Health Careers,40.875953,-73.86197,0.805,,0.917
12X511,Bronx Envision Academy,40.8359,-73.890458,0.819,,0.871
06M211,Inwood Early College for Health and Information Technologies,40.866053,-73.924835,0.861,,0.9
29Q283,Preparatory Academy for Writers: A College Board School,40.668235,-73.756839,,,
10X433,High School for Teaching and the Professions,40.870293,-73.898309,0.894,,0.777
02M294,Essex Street Academy,40.717349,-73.989596,0.846,,0.979
08X376,Antonia Pantoja Preparatory Academy: A College Board School,40.82229,-73.856167,0.816,0.896,0.881
02M437,Hudson High School of Learning Technologies,40.742867,-74.002136,0.826,,0.872
27Q475,Richmond Hill High School,40.695888,-73.833681,,,
08X558,Westchester Square Academy,40.840702,-73.838545,0.819,,0.875
03M415,Wadleigh Secondary School for the Performing & Visual Arts,40.802207,-73.954142,0.957,0.936,1.0
19K639,Brooklyn Lab School,40.691146,-73.868328,,,
08X367,"Archimedes Academy for Math, Science and Technology Applications",40.814833,-73.85658,0.809,0.906,0.654
24Q610,Aviation Career & Technical Education High School,40.743509,-73.929076,,,
14K488,Brooklyn Preparatory High School,40.715073,-73.954754,0.645,,0.935
06M540,A. Philip Randolph Campus High School,40.818188,-73.950356,0.751,,0.834
15K423,Brooklyn Frontiers High School,40.690145,-73.989132,,,
01M450,East Side Community School,40.729589,-73.982555,0.975,0.981,0.924
17K537,High School for Youth and Community Development at Erasmus,40.649787,-73.95855,0.863,,0.855
27Q260,Frederick Douglass Academy VI High School,40.60201,-73.762795,,,
12X248,"Metropolitan High School, The",40.827315,-73.897612,0.876,,0.714
21K525,Edward R. Murrow High School,40.620525,-73.959285,,,
29Q498,Humanities & Arts Magnet High School,40.697819,-73.745728,,,
19K660,W. H. Maxwell Career and Technical Education High School,40.674135,-73.89643,,,
31R080,The Michael J. Petrides School,40.608512,-74.102067,,,
32K554,All City Leadership Secondary School,40.69737,-73.913171,,,
10X268,Kingsbridge International High School,40.870293,-73.898309,0.703,,0.588
02M414,N.Y.C. Museum School,40.742129,-74.002198,0.949,,0.971
02M418,Millennium High School,40.704541,-74.011552,0.976,,0.994
09X350,New Directions Secondary School,40.840422,-73.91091,,,
17K528,The High School for Global Citizenship,40.670349,-73.961695,0.935,,0.87
02M459,Manhattan International High School,40.765359,-73.960059,0.788,,0.685
10X213,Bronx Engineering and Technology Academy,40.877105,-73.912256,0.776,,0.78
18K569,Kurt Hahn Expeditionary Learning School,40.648657,-73.922171,,,
02M605,Humanities Preparatory Academy,40.742867,-74.002136,0.926,,0.942
10X445,The Bronx High School of Science,40.87759,-73.89104,0.981,,1.0
02M303,The Facing History School,40.76525,-73.993105,0.812,,0.818
09X365,Academy for Language and Technology,40.849532,-73.916077,0.932,,1.0
28Q284,York Early College Academy,40.69719,-73.787192,,,
10X438,Fordham Leadership Academy,40.860043,-73.888267,0.955,,1.0
32K549,The Brooklyn School for Social Justice,40.697185,-73.91117,,,
11X275,High School of Computers and Technology,40.875953,-73.86197,0.846,,0.821
30Q445,William Cullen Bryant High School,40.75823,-73.910514,,,
02M376,NYC iSchool,40.7244,-74.004625,0.924,,1.0
02M449,Vanguard High School,40.765359,-73.960059,0.948,,0.67
19K404,Academy for Young Writers,40.657434,-73.874734,,,
19K507,Performing Arts and Technology High School,40.667456,-73.894747,,,
02M545,High School for Dual Language and Asian Studies,40.717349,-73.989596,0.967,,0.99
07X551,The Urban Assembly Bronx Academy of Letters,40.813641,-73.925313,0.655,0.759,0.835
18K617,High School for Innovation in Advertising and Media,40.641474,-73.898254,,,
12X242,Mott Hall V,40.831416,-73.877785,0.878,0.926,0.957
16K765,Nelson Mandela High School,40.67944,-73.932407,0.817,,0.889
02M407,Institute for Collaborative Education (ICE),40.732447,-73.983031,0.936,0.971,0.971
31R440,New Dorp High School,40.569393,-74.107737,,,
